text,intent,answer
Bagaimana cara mengedit biodata (profile)?,T1,"Untuk mengedit biodata atau profil Anda di JobRise, silakan ikuti langkah-langkah berikut:

1. Masuk ke akun JobRise Anda
2. Klik menu ""Profile"" yang terdapat di bagian atas halaman
3. Cari dan klik ikon pensil (edit) yang berada di samping informasi profil Anda
4. Lakukan perubahan pada data yang ingin Anda perbarui
5. Setelah selesai, klik tombol ""Save"" untuk menyimpan perubahan

Perubahan pada profil Anda akan langsung diperbarui dan dapat dilihat oleh perekrut saat Anda melamar pekerjaan."
Bagaimana cara membuat CV ATS generated?,T3,"JobRise menyediakan fitur pembuatan CV yang dioptimalkan untuk ATS (Applicant Tracking System). Untuk membuat CV ATS generated, ikuti langkah-langkah berikut:

1. Masuk ke akun JobRise Anda
2. Pilih menu ""CV"" di bagian atas halaman
3. Isi semua field yang tersedia dengan informasi yang relevan (pendidikan, pengalaman kerja, skill, dsb)
4. Setelah semua informasi terisi dengan lengkap, klik tombol ""Generate CV""
5. Sistem akan memproses informasi Anda menjadi format CV yang ATS-friendly
6. Setelah proses selesai, klik tombol ""Download"" untuk menyimpan CV Anda

CV yang dihasilkan sudah dioptimalkan untuk sistem ATS sehingga meningkatkan peluang CV Anda lolos tahap screening awal."
Bagaimana cara apply jobs?,T2,"Untuk melamar pekerjaan di JobRise, ikuti langkah-langkah berikut:

1. Masuk ke akun JobRise Anda
2. Pilih menu ""Find Job"" di bagian atas halaman
3. Cari pekerjaan yang sesuai dengan kualifikasi dan minat Anda
4. Klik pada pekerjaan yang ingin Anda lamar untuk melihat detail
5. Klik tombol ""Apply"" yang terdapat pada halaman detail pekerjaan
6. Lamaran Berhasil dikirim.

Anda dapat memantau status lamaran melalui menu ""Applied""."
Bagaimana cara save job?,T4,"Anda dapat menyimpan lowongan pekerjaan yang menarik untuk dilihat nanti dengan cara:

1. Masuk ke akun JobRise Anda
2. Pilih menu ""Find Job"" pada bagian atas
3. Jelajahi daftar pekerjaan yang tersedia
4. Saat menemukan pekerjaan yang ingin Anda simpan, klik ikon bookmark (save) yang terdapat pada kartu lowongan pekerjaan tersebut

Pekerjaan yang Anda simpan dapat diakses kembali melalui menu ""Favorite Jobs"" pada dashboard Anda. Fitur ini sangat berguna untuk membantu Anda melacak lowongan yang menarik tanpa perlu melamar saat itu juga."
Bagaimana cara cek status lamaran?,T2,"Untuk memeriksa status lamaran pekerjaan yang telah Anda kirimkan:

1. Masuk ke akun JobRise Anda
2. Pilih menu ""Applied"" di bagian atas halaman
3. Anda akan melihat daftar semua lamaran yang telah Anda kirimkan
4. Cari pekerjaan yang ingin Anda ketahui statusnya
5. Status lamaran Anda (Submitted, Under Review, Interview, Rejected, atau Accepted) akan ditampilkan di samping informasi pekerjaan

JobRise akan secara otomatis memperbarui status lamaran Anda setiap kali ada perubahan dari pihak perusahaan."
Bagaimana mengetahui apakah lowongan masih tersedia atau tidak?,T4,"Untuk mengetahui ketersediaan suatu lowongan pekerjaan di JobRise:

1. Buka menu ""Find Job"" pada bagian atas
2. Cari lowongan pekerjaan yang ingin Anda ketahui ketersediaannya
3. Perhatikan bagian kanan atas pada kartu informasi pekerjaan tersebut

JobRise menampilkan status ketersediaan dengan label yang jelas:

- ""Open"" (berwarna hijau) menandakan lowongan masih tersedia
- ""Closing Soon"" (berwarna kuning) menandakan deadline aplikasi hampir berakhir
- ""Closed"" (berwarna merah) menandakan lowongan sudah tidak tersedia

Informasi ini diperbarui secara real-time sesuai dengan data dari perusahaan pemberi kerja."
Apa yang harus saya lakukan saat terjadi masalah saat melamar pekerjaan?,T6,"Jika Anda mengalami masalah saat melamar pekerjaan di JobRise, ada beberapa langkah yang dapat Anda lakukan:

1. Untuk masalah teknis pada platform JobRise:
- Hubungi pusat bantuan (contact center) dengan kontak yang bisa ditemukan pada bagian bawah halaman utama
- Kirimkan email ke support.jobrise@gmail.com dengan detail masalah yang Anda alami


2. Untuk masalah yang berkaitan dengan persyaratan atau informasi dari perusahaan:
- Hubungi langsung HRD atau contact person perusahaan yang tertera pada detail lowongan
- Kirimkan pertanyaan melalui form yang tersedia pada halaman detail perusahaan


Tim support JobRise siap membantu Anda dalam menyelesaikan masalah dengan respons cepat dalam 1x24 jam."
Bagaimana cara melihat riwayat lamaran pekerjaan?,T2,"Untuk melihat seluruh riwayat lamaran pekerjaan yang pernah Anda kirimkan di JobRise:

1. Masuk ke akun JobRise Anda
2. Pilih menu ""Applied"" di bagian atas
3. Halaman akan menampilkan daftar lengkap semua lamaran yang pernah Anda kirimkan
4. Lamaran akan diurutkan secara kronologis dari yang terbaru hingga yang terlama
5. Untuk melihat detail lamaran, klik pada nama pekerjaan atau perusahaan

Fitur riwayat lamaran ini memungkinkan Anda untuk melacak dan menganalisis perjalanan karir Anda di JobRise."
Bagaimana cara mengubah kata sandi?,T1,"Untuk mengubah kata sandi akun JobRise Anda:

1. Masuk ke akun JobRise Anda
2. Klik menu ""Profile"" di bagian atas
3. Pilih submenu ""Pengaturan""
4. Klik tab ""Keamanan""
5. Pilih opsi ""Ubah Kata Sandi""
6. Masukkan kata sandi lama Anda untuk verifikasi
7. Masukkan kata sandi baru (minimal 8 karakter, kombinasi huruf besar, huruf kecil, angka, dan simbol)
8. Konfirmasi kata sandi baru dengan mengetiknya kembali
9. Klik tombol ""Konfirmasi"" untuk menyimpan perubahan

Setelah berhasil mengubah kata sandi, Anda akan menerima email konfirmasi perubahan kata sandi. Demi keamanan, sebaiknya ganti kata sandi Anda secara berkala setiap 3-6 bulan."
Bagaimana cara mengubah kata sandi karena lupa?,T1,"Jika Anda lupa kata sandi, Anda dapat merubahnya dengan:

1. Klik menu ""Sign in"" pada bagian atas
2. Pilih ""Lupa kata sandi"" pada bagian bawah kanan form
3. Verifikasi email Anda
4. Masukkan kata sandi baru (minimal 8 karakter, kombinasi huruf besar, huruf kecil, angka, dan simbol)
5. Konfirmasi kata sandi baru dengan mengetiknya kembali
6. Klik tombol ""Konfirmasi"" untuk menyimpan perubahan

Setelah berhasil mengubah kata sandi, Anda akan menerima email konfirmasi perubahan kata sandi. Demi keamanan, sebaiknya ganti kata sandi Anda secara berkala setiap 3-6 bulan."
